Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    Egzaminas 
Andrius             A.                  2      3      6      6      5      10        
Liepa               G.                  8      9      4      5      8      10        
Andrius             U.                  10     7      4      6      3      10        
Jonas               C.                  10     10     6      1      10     2         
Amelija             H.                  8      6      6      4      5      9         
Jonas               N.                  6      3      10     10     6      9         
Liepa               F.                  10     2      2      10     1      1         
Dominykas           L.                  9      2      10     9      7      6         
Emilija             D.                  6      5      8      10     10     8         
Nojus               E.                  9      10     1      7      7      7         
Nojus               P.                  7      5      6      3      1      6         
Tomas               U.                  8      3      7      4      3      3         
Matas               U.                  7      5      7      10     6      2         
Motiejus            T.                  2      10     1      3      3      4         
Rokas               F.                  4      10     5      4      5      3         
Nojus               T.                  5      8      1      8      7      9         
Olivija             G.                  9      6      9      10     10     10        
Liepa               T.                  1      6      9      2      6      4         
Adele               R.                  1      6      5      1      2      6         
Markas              N.                  10     1      8      4      1      5         
Andrius             D.                  1      3      7      8      1      1         
Amelija             B.                  3      4      7      8      8      10        
Jonas               V.                  9      8      7      6      8      9         
Kestas              T.                  8      5      3      10     8      6         
Kestas              C.                  2      5      4      4      4      6         
Lukne               G.                  10     1      5      8      4      1         
Nojus               S.                  10     9      1      5      2      3         
Lukas               G.                  1      3      1      5      5      9         
Matas               P.                  7      10     7      10     9      8         
Kestas              R.                  10     2      7      4      9      3         
Jonas               I.                  4      8      1      5      4      9         
Amelija             B.                  1      1      8      7      7      10        
Emilija             K.                  4      1      8      4      3      7         
Adomas              G.                  8      6      9      7      2      8         
Dominykas           J.                  4      9      2      3      6      4         
Barbora             T.                  8      6      2      1      9      4         
Amelija             L.                  8      6      10     4      9      5         
Ugne                S.                  10     6      4      2      4      8         
Benas               S.                  9      8      1      1      2      3         
Andrius             Q.                  9      7      1      4      7      9         
Emilija             O.                  4      5      10     9      3      3         
Liepa               A.                  7      2      6      5      2      8         
Andrius             D.                  10     7      5      2      6      10        
Adele               G.                  4      3      6      1      6      4         
Motiejus            O.                  7      7      9      8      2      1         
Matas               L.                  6      8      3      9      6      2         
Nojus               N.                  10     5      4      3      8      5         
Markas              N.                  5      1      6      5      3      5         
Jonas               B.                  10     4      4      1      4      4         
Lukne               H.                  7      6      1      7      3      7         
Rokas               A.                  10     2      10     3      1      3         
Rokas               T.                  3      8      2      8      4      4         
Jokubas             J.                  4      7      8      8      8      6         
Tomas               Q.                  7      2      5      10     3      1         
Dominykas           T.                  5      9      10     7      7      5         
Juozas              E.                  2      7      2      1      6      4         
Barbora             C.                  3      3      6      5      3      3         
Daumantas           V.                  2      1      1      9      4      7         
Amelija             S.                  10     9      7      1      8      10        
Ugne                S.                  7      4      6      1      8      10        
Dominykas           F.                  2      10     6      10     3      2         
Kestas              H.                  9      2      10     2      7      10        
Markas              C.                  1      9      6      10     6      4         
Dominykas           S.                  6      3      10     8      10     6         
Markas              E.                  7      4      10     1      6      2         
Adele               D.                  10     7      5      8      7      3         
Benas               H.                  6      4      7      4      3      2         
Adomas              B.                  7      5      4      1      6      3         
Amelija             A.                  10     1      10     3      5      1         
Rokas               A.                  2      1      5      9      6      9         
Jonas               L.                  4      10     4      4      6      2         
Olivija             N.                  4      1      5      4      7      3         
Kestas              J.                  9      6      1      7      5      6         
Jonas               P.                  10     7      5      10     6      7         
Barbora             P.                  7      2      7      7      8      9         
Ema                 Q.                  3      10     1      1      9      3         
Motiejus            S.                  10     10     3      10     7      4         
Motiejus            N.                  6      3      9      2      5      8         
Emilija             L.                  8      10     7      2      6      4         
Tomas               Q.                  7      2      10     4      10     8         
Rokas               C.                  8      7      5      3      7      8         
Tomas               K.                  9      8      5      6      7      7         
Nojus               S.                  8      10     2      4      10     8         
Adele               R.                  3      3      7      8      5      2         
Ema                 S.                  10     4      4      9      2      7         
Jokubas             D.                  10     6      10     8      3      7         
Amelija             N.                  3      5      5      9      1      7         
Petras              H.                  9      7      5      6      7      2         
Liepa               I.                  1      6      4      10     9      4         
Liepa               S.                  8      9      4      5      7      2         
Ema                 A.                  8      1      9      2      6      5         
Ugne                H.                  10     8      1      9      2      6         
Olivija             D.                  5      4      6      10     4      3         
Motiejus            U.                  4      6      6      6      2      3         
Jonas               F.                  5      6      2      5      4      7         
Motiejus            B.                  6      8      2      5      7      5         
Benas               K.                  3      1      2      6      4      7         
Lukas               Q.                  4      8      3      2      9      7         
Jonas               S.                  4      5      10     8      9      4         
Ema                 R.                  9      2      9      7      3      7         
Lukne               K.                  10     3      10     7      9      9         
Olivija             J.                  10     7      1      10     4      9         
Adele               A.                  8      1      9      9      6      5         
Liepa               L.                  9      4      8      8      3      3         
Adele               Q.                  1      3      7      5      3      5         
Olivija             G.                  9      10     9      7      5      10        
Liepa               C.                  5      4      8      1      5      4         
Jonas               F.                  2      10     9      8      9      8         
Adele               K.                  2      3      7      2      7      2         
Adomas              F.                  1      10     7      3      6      1         
Motiejus            V.                  9      6      4      10     8      10        
Kestas              F.                  7      10     1      1      2      4         
Andrius             N.                  2      5      6      7      5      5         
Matas               U.                  6      8      2      6      5      1         
Kestas              M.                  4      4      10     3      9      10        
Lukas               N.                  7      6      4      9      9      8         
Markas              T.                  4      2      8      1      5      2         
Ema                 R.                  7      7      5      5      3      6         
Olivija             J.                  1      8      8      10     8      2         
Lukas               J.                  1      7      4      8      2      1         
Motiejus            L.                  2      10     8      6      5      3         
Nojus               F.                  7      3      3      5      2      2         
Tomas               O.                  1      1      1      4      10     4         
Ema                 O.                  3      5      5      6      7      10        
Markas              H.                  7      10     7      2      3      1         
Daumantas           V.                  9      10     10     8      8      4         
Rokas               D.                  1      10     8      1      3      6         
Liepa               B.                  8      8      8      2      6      3         
Juozas              B.                  2      7      1      3      3      5         
Barbora             H.                  8      8      2      4      8      1         
Benas               F.                  3      3      7      9      8      1         
Petras              G.                  2      8      8      10     4      6         
Motiejus            C.                  8      10     5      9      6      6         
Lukne               B.                  3      2      10     9      4      8         
Matas               N.                  1      10     4      3      3      1         
Tomas               J.                  1      4      1      3      5      5         
Juozas              L.                  1      6      3      1      6      6         
Tomas               O.                  5      2      5      7      2      8         
Matas               I.                  1      10     3      1      4      4         
Tomas               B.                  7      1      7      9      2      1         
Amelija             D.                  2      2      4      9      6      6         
Paulius             R.                  2      5      3      3      5      9         
Barbora             R.                  8      5      4      9      1      6         
Dominykas           D.                  9      1      6      2      3      4         
Motiejus            M.                  6      6      9      8      1      4         
Liepa               R.                  4      9      4      2      10     9         
Paulius             U.                  10     10     2      5      10     10        
Barbora             E.                  9      8      7      9      4      3         
Dominykas           K.                  8      6      7      8      7      3         
Petras              I.                  4      10     7      9      10     9         
Rokas               M.                  3      9      7      4      4      3         
Petras              G.                  5      1      9      2      3      9         
Kestas              T.                  9      10     1      3      1      3         
Jonas               U.                  1      4      9      5      4      4         
Amelija             P.                  6      7      6      9      6      9         
Adele               K.                  5      6      3      1      10     2         
Andrius             K.                  9      1      8      5      8      1         
Tomas               D.                  1      3      1      6      9      10        
Markas              Q.                  1      3      1      7      8      6         
Andrius             H.                  7      5      4      6      10     9         
Daumantas           R.                  1      5      6      5      2      3         
Markas              H.                  2      2      6      6      9      7         
Olivija             I.                  3      4      8      10     2      4         
Motiejus            D.                  4      10     2      4      6      6         
Tomas               F.                  2      6      6      4      8      7         
Adomas              U.                  8      9      5      2      2      9         
Emilija             N.                  2      5      5      5      10     1         
Markas              J.                  2      4      8      8      1      7         
Juozas              M.                  6      8      6      5      6      3         
Jonas               N.                  8      7      7      4      5      8         
Paulius             N.                  6      7      9      1      10     5         
Barbora             P.                  8      3      10     6      8      6         
Benas               Q.                  4      4      4      6      6      1         
Markas              H.                  2      6      2      7      9      1         
Olivija             A.                  3      7      7      7      2      9         
Petras              R.                  9      2      2      2      7      7         
Olivija             U.                  9      7      8      6      2      2         
Amelija             M.                  10     6      10     10     2      6         
Daumantas           C.                  10     10     2      5      2      8         
Jokubas             K.                  8      2      2      9      1      10        
Paulius             J.                  9      2      6      3      7      7         
Paulius             E.                  10     7      8      3      7      10        
Matas               I.                  2      10     1      4      9      9         
Andrius             F.                  9      7      1      8      2      6         
Liepa               F.                  7      7      5      5      5      5         
Adele               T.                  5      1      8      5      8      4         
Matas               S.                  7      2      2      9      6      4         
Tomas               H.                  3      9      10     10     4      9         
Paulius             B.                  9      1      4      1      7      7         
Jokubas             A.                  8      2      6      9      2      3         
Lukas               I.                  2      1      5      8      2      5         
Rokas               U.                  7      4      3      10     2      3         
Barbora             N.                  9      6      5      9      4      6         
Lukne               Q.                  5      8      7      6      9      7         
Petras              H.                  10     3      10     9      6      6         
Matas               L.                  6      8      4      3      6      6         
Emilija             M.                  1      5      4      10     8      3         
Ema                 M.                  8      2      1      1      3      8         
Daumantas           G.                  9      2      9      4      8      10        
Rokas               B.                  4      9      10     9      3      8         
Jokubas             V.                  9      10     2      1      9      6         
Lukas               G.                  6      1      1      1      9      10        
Dominykas           T.                  3      8      6      9      1      4         
Paulius             A.                  8      8      7      4      9      2         
Amelija             K.                  6      4      3      10     4      3         
Adele               G.                  9      3      5      6      5      2         
Juozas              N.                  10     6      10     10     10     2         
Adomas              U.                  8      5      7      7      7      2         
Tomas               D.                  7      6      4      10     5      10        
Lukne               U.                  7      1      2      3      2      9         
Liepa               C.                  4      9      2      7      9      1         
Daumantas           R.                  8      2      3      5      6      5         
Benas               G.                  6      1      9      7      4      6         
Emilija             J.                  6      5      9      3      5      10        
Emilija             Q.                  7      10     2      8      5      9         
Nojus               O.                  9      2      3      3      10     5         
Lukas               U.                  4      2      5      7      4      7         
Motiejus            T.                  3      3      8      3      10     9         
Ema                 I.                  9      4      2      5      5      10        
Juozas              U.                  9      1      7      9      3      7         
Daumantas           U.                  3      2      9      2      9      6         
Barbora             M.                  6      10     1      1      5      1         
Amelija             A.                  6      1      3      2      9      10        
Markas              T.                  5      2      7      9      3      2         
Nojus               H.                  1      3      9      2      3      6         
Matas               S.                  10     2      8      6      10     8         
Emilija             H.                  6      4      8      4      2      8         
Jokubas             O.                  7      6      1      10     3      9         
Lukas               F.                  4      6      8      1      1      7         
Benas               B.                  5      4      9      8      10     3         
Tomas               G.                  9      9      2      7      10     5         
Emilija             G.                  6      6      8      4      2      10        
Markas              L.                  6      4      3      4      8      4         
Kestas              B.                  4      1      2      5      6      10        
Tomas               L.                  9      5      7      1      9      2         
Adomas              J.                  10     2      10     4      1      7         
Emilija             N.                  7      5      6      7      10     3         
Jonas               Q.                  9      1      7      7      3      2         
Tomas               H.                  9      5      10     4      1      4         
Motiejus            I.                  9      10     7      8      6      1         
Emilija             V.                  1      7      5      5      1      6         
Adomas              K.                  7      3      1      1      5      3         
Petras              U.                  8      9      6      10     10     1         
Rokas               D.                  7      2      10     2      2      4         
Juozas              R.                  1      4      4      4      10     4         
Lukne               L.                  5      8      7      6      10     3         
Barbora             Q.                  8      8      4      1      9      5         
Nojus               U.                  10     7      2      10     4      3         
Emilija             C.                  9      8      3      5      9      2         
Adomas              T.                  6      8      5      6      10     9         
Ema                 T.                  3      7      5      6      1      10        
Jonas               K.                  6      4      3      2      7      4         
Lukas               P.                  4      5      6      9      7      9         
Motiejus            J.                  2      6      5      8      5      3         
Rokas               I.                  6      1      5      5      1      5         
Petras              L.                  6      6      2      10     9      7         
Lukas               P.                  3      8      7      5      6      6         
Olivija             T.                  10     3      9      10     9      6         
Daumantas           O.                  1      8      10     4      3      4         
Lukas               O.                  2      6      5      8      7      5         
Petras              V.                  4      5      6      1      3      9         
Liepa               H.                  4      2      2      7      3      8         
Andrius             P.                  10     1      6      2      8      1         
Lukne               L.                  10     5      6      7      4      8         
Liepa               U.                  6      2      1      8      3      9         
Emilija             E.                  7      2      10     1      2      6         
Tomas               R.                  6      10     7      7      3      8         
Nojus               M.                  4      7      4      4      8      3         
Ugne                P.                  5      7      9      5      5      9         
Lukne               V.                  5      5      3      6      2      4         
Daumantas           C.                  6      9      3      6      10     8         
Ema                 A.                  5      5      7      3      2      5         
Lukas               J.                  2      1      9      6      2      7         
Paulius             A.                  2      3      4      1      5      3         
Daumantas           P.                  6      10     2      2      9      2         
Ugne                A.                  10     4      6      2      5      2         
Jonas               R.                  10     8      3      6      5      6         
Motiejus            U.                  6      10     7      9      10     7         
Daumantas           D.                  10     3      8      10     8      2         
Matas               O.                  1      7      3      2      2      9         
Kestas              M.                  2      2      9      9      9      7         
Benas               C.                  6      9      8      3      1      5         
Motiejus            M.                  1      8      4      5      5      8         
Dominykas           S.                  7      3      3      7      6      1         
Kestas              J.                  4      5      3      7      2      8         
Liepa               O.                  6      7      1      5      1      3         
Barbora             C.                  6      2      1      8      1      10        
Dominykas           F.                  8      10     2      7      4      6         
Jokubas             V.                  5      2      6      2      9      1         
Rokas               B.                  10     2      3      6      5      4         
Dominykas           P.                  5      8      8      5      2      2         
Petras              D.                  8      6      8      4      5      10        
Jonas               M.                  6      9      6      2      6      9         
Barbora             E.                  9      2      6      2      7      8         
Adele               H.                  9      4      2      6      10     6         
Kestas              Q.                  9      10     2      8      1      5         
Jonas               A.                  6      9      8      3      7      5         
Barbora             T.                  4      1      4      10     6      1         
Ugne                F.                  8      10     1      4      4      1         
Liepa               D.                  5      4      8      1      6      7         
Adomas              N.                  7      9      7      1      3      6         
Juozas              L.                  8      4      2      6      4      2         
Paulius             H.                  5      4      3      6      3      6         
Dominykas           B.                  8      10     5      7      5      2         
Adele               G.                  3      2      2      9      1      6         
Daumantas           B.                  3      2      2      7      6      4         
Lukne               C.                  3      7      7      1      4      10        
Emilija             K.                  4      3      1      9      3      2         
Motiejus            J.                  4      9      4      6      2      10        
Ema                 I.                  6      5      5      5      5      8         
Olivija             D.                  1      1      3      7      6      2         
Motiejus            S.                  3      2      6      5      2      6         
Adele               S.                  6      7      9      5      4      10        
Markas              P.                  10     4      4      4      3      9         
Jonas               V.                  10     7      2      2      3      6         
Jokubas             S.                  10     3      6      10     6      9         
Tomas               K.                  7      8      1      7      3      10        
Barbora             R.                  8      6      6      2      3      8         
Petras              G.                  3      4      1      4      1      4         
Motiejus            T.                  7      1      4      8      3      2         
Benas               J.                  9      9      4      4      4      6         
Jonas               V.                  3      6      3      5      10     1         
Dominykas           T.                  8      7      2      1      7      8         
Juozas              T.                  1      4      6      7      9      6         
Ugne                J.                  10     7      9      2      7      7         
Benas               F.                  6      5      6      7      6      5         
Dominykas           J.                  6      7      3      5      7      5         
Tomas               K.                  10     2      8      4      6      8         
Emilija             O.                  10     1      4      8      9      3         
Dominykas           P.                  1      8      5      10     8      1         
Rokas               O.                  9      3      7      1      4      5         
Lukne               Q.                  10     2      7      10     1      3         
Daumantas           H.                  4      5      7      5      4      5         
Lukas               N.                  3      4      7      1      4      3         
Emilija             E.                  9      1      1      1      1      5         
Tomas               F.                  3      8      8      7      5      9         
Tomas               K.                  7      9      4      6      7      1         
Liepa               C.                  6      3      10     6      6      10        
Tomas               A.                  5      2      3      9      8      9         
Motiejus            L.                  7      6      7      2      2      3         
Lukas               F.                  7      3      2      1      6      7         
Barbora             G.                  6      7      10     2      6      7         
Markas              N.                  4      2      3      10     10     9         
Andrius             V.                  7      8      1      7      4      7         
Ugne                Q.                  9      6      9      5      3      1         
Liepa               E.                  8      2      1      7      9      3         
Barbora             L.                  9      1      6      3      7      7         
Emilija             B.                  8      3      8      9      3      4         
Adele               C.                  9      2      1      6      8      2         
Lukne               J.                  4      2      7      7      10     6         
Lukas               K.                  9      8      10     8      10     9         
Dominykas           V.                  8      2      7      10     6      8         
Jonas               P.                  8      7      2      2      6      10        
Jonas               S.                  1      9      5      2      8      5         
Jokubas             O.                  10     2      4      7      4      1         
Jonas               M.                  7      9      2      1      10     6         
Nojus               K.                  2      5      5      6      7      4         
Jonas               S.                  1      7      9      9      7      9         
Ugne                L.                  9      3      4      3      3      3         
Lukas               K.                  10     3      6      9      5      10        
Benas               K.                  3      8      6      3      1      2         
Petras              P.                  4      6      3      4      3      7         
Barbora             S.                  2      9      10     3      1      6         
Paulius             S.                  4      7      10     1      5      5         
Andrius             O.                  8      4      9      7      1      10        
Dominykas           M.                  4      6      7      9      8      5         
Jokubas             F.                  5      1      7      3      4      5         
Amelija             V.                  7      3      1      6      7      2         
Lukas               E.                  8      1      9      10     3      5         
Andrius             I.                  6      3      3      3      6      9         
Markas              F.                  10     3      8      4      6      4         
Emilija             S.                  9      7      4      3      3      8         
Tomas               K.                  1      1      10     2      5      7         
Benas               C.                  4      3      4      8      4      9         
Emilija             M.                  8      6      3      3      7      9         
Rokas               F.                  4      6      1      9      5      1         
Benas               Q.                  2      2      7      5      4      9         
Nojus               Q.                  9      4      3      6      10     10        
Jokubas             S.                  1      10     7      4      8      10        
Lukne               E.                  3      9      5      1      4      7         
Paulius             L.                  1      5      7      5      9      1         
Barbora             R.                  4      8      1      8      2      2         
Tomas               F.                  9      3      7      10     5      9         
Matas               V.                  5      8      7      9      8      2         
Jonas               G.                  9      3      5      6      7      6         
Tomas               S.                  5      6      8      6      10     8         
Jokubas             I.                  1      9      7      3      4      1         
Andrius             N.                  5      1      8      1      5      10        
Benas               J.                  9      5      4      1      1      10        
Liepa               F.                  5      3      8      3      3      4         
Jonas               V.                  2      4      3      8      6      3         
Olivija             V.                  7      2      9      2      1      3         
Ema                 I.                  5      7      9      9      10     8         
Andrius             A.                  6      6      9      2      7      4         
Markas              D.                  4      4      2      8      2      1         
Jonas               J.                  4      4      3      7      10     4         
Lukne               V.                  2      3      1      2      2      5         
Andrius             V.                  5      3      8      5      7      4         
Lukas               F.                  8      8      7      1      6      5         
Dominykas           H.                  5      2      5      10     4      4         
Lukne               O.                  7      1      9      4      4      3         
Adomas              G.                  10     6      3      2      8      2         
Emilija             L.                  2      4      8      5      4      6         
Kestas              G.                  5      3      10     8      10     5         
Kestas              K.                  1      1      10     9      3      10        
Matas               S.                  7      1      10     1      4      10        
Lukne               L.                  8      3      10     4      9      7         
Matas               A.                  8      6      2      10     9      2         
Olivija             B.                  4      6      8      9      2      8         
Jonas               O.                  1      1      7      3      3      6         
Lukas               P.                  10     6      7      1      2      1         
Nojus               D.                  1      2      4      2      1      3         
Matas               U.                  9      5      8      9      3      1         
Amelija             R.                  5      7      6      8      9      10        
Motiejus            N.                  1      7      4      3      1      3         
Andrius             J.                  9      10     7      7      8      7         
Andrius             F.                  1      4      4      2      3      2         
Tomas               C.                  7      3      7      10     4      10        
Kestas              N.                  9      9      9      7      9      6         
Motiejus            F.                  2      9      4      7      4      7         
Jokubas             B.                  7      4      1      6      7      6         
Paulius             U.                  2      10     4      8      8      2         
Jokubas             S.                  1      10     2      2      3      8         
Daumantas           P.                  6      4      10     7      6      9         
Lukne               O.                  10     3      1      7      10     7         
Ema                 C.                  2      5      4      8      9      6         
Rokas               J.                  4      10     2      3      3      1         
Ema                 P.                  9      4      6      3      6      5         
Paulius             Q.                  3      7      8      5      6      10        
Petras              L.                  6      7      4      9      3      5         
Lukne               M.                  6      5      5      1      9      8         
Dominykas           M.                  5      6      5      2      9      4         
Liepa               E.                  10     7      3      3      10     3         
Tomas               S.                  5      1      4      4      9      9         
Liepa               L.                  10     1      10     2      8      6         
Jonas               Q.                  7      5      4      8      4      3         
Ugne                I.                  1      5      7      6      2      10        
Nojus               T.                  7      4      5      1      4      7         
Olivija             B.                  1      2      7      8      3      5         
Olivija             U.                  8      6      3      6      10     2         
Tomas               G.                  7      8      8      8      2      10        
Kestas              R.                  7      8      7      8      9      8         
Amelija             A.                  1      10     5      9      2      2         
Nojus               U.                  9      3      3      6      2      5         
Markas              I.                  5      9      1      1      2      1         
Barbora             R.                  7      3      2      8      7      7         
Liepa               J.                  7      2      5      10     4      6         
Adele               H.                  2      2      4      10     6      1         
Ugne                C.                  5      7      10     4      5      4         
Lukas               O.                  9      1      9      5      10     8         
Daumantas           U.                  2      2      10     7      10     1         
Juozas              P.                  7      6      9      4      10     3         
Matas               F.                  3      1      1      8      4      5         
Ema                 O.                  7      1      2      6      6      4         
Jonas               R.                  1      5      9      4      8      10        
Daumantas           T.                  3      2      8      2      5      1         
Nojus               J.                  2      4      10     10     4      1         
Adele               A.                  4      7      5      6      4      1         
Liepa               S.                  7      3      7      3      10     9         
Liepa               D.                  3      9      10     1      1      6         
Olivija             K.                  10     2      7      9      7      1         
Daumantas           M.                  5      9      1      7      5      6         
Liepa               N.                  10     5      7      3      5      5         
Daumantas           K.                  10     10     6      1      6      2         
Matas               D.                  9      9      1      5      10     4         
Dominykas           C.                  4      8      7      10     3      5         
Liepa               P.                  10     2      4      4      6      4         
Andrius             M.                  6      4      5      4      9      10        
Lukne               C.                  6      10     10     10     10     2         
Petras              U.                  6      2      3      1      5      2         
Ema                 P.                  5      8      3      5      7      8         
Jonas               V.                  1      8      7      3      6      5         
Nojus               U.                  1      9      3      6      1      6         
Olivija             K.                  4      8      9      2      2      6         
Adele               A.                  1      1      4      2      10     6         
Adele               G.                  4      6      1      5      5      7         
Emilija             N.                  8      8      3      9      5      8         
Ugne                Q.                  8      4      10     10     4      2         
Amelija             G.                  10     7      10     9      2      6         
Amelija             T.                  1      6      2      2      8      6         
Liepa               B.                  10     4      6      6      9      5         
Rokas               V.                  6      8      6      1      2      5         
Liepa               B.                  10     1      2      4      5      5         
Lukne               U.                  9      3      3      1      9      5         
Jonas               A.                  8      6      7      1      8      9         
Amelija             K.                  5      1      3      1      3      7         
Jokubas             H.                  10     8      6      4      8      10        
Barbora             U.                  2      7      7      1      10     1         
Ema                 K.                  2      3      6      3      10     2         
Andrius             K.                  3      3      6      1      9      2         
Petras              B.                  4      8      3      6      9      7         
Jonas               Q.                  5      9      6      2      4      7         
Ema                 O.                  6      5      10     8      9      3         
Rokas               B.                  5      10     7      6      5      3         
Markas              N.                  5      1      1      5      6      1         
Benas               S.                  9      2      2      2      4      6         
Nojus               L.                  5      8      5      7      7      5         
Jokubas             R.                  5      5      6      6      5      3         
Nojus               V.                  6      3      7      6      7      10        
Nojus               Q.                  8      4      2      10     3      8         
Rokas               K.                  4      9      3      5      5      6         
Jonas               O.                  4      1      2      4      10     1         
Lukne               S.                  2      5      6      5      10     6         
Barbora             U.                  4      1      10     4      10     5         
Tomas               S.                  6      4      8      9      5      5         
Ugne                K.                  5      5      5      4      4      6         
Jonas               O.                  5      6      10     6      2      9         
Lukas               I.                  8      8      3      8      1      1         
Motiejus            T.                  8      6      9      7      8      8         
Adele               B.                  3      5      8      4      2      7         
Emilija             A.                  4      5      7      1      4      2         
Adele               I.                  8      9      9      2      1      5         
Amelija             N.                  3      8      6      9      1      1         
Emilija             K.                  5      3      10     9      2      2         
Liepa               N.                  8      3      2      9      1      8         
Ema                 S.                  5      8      7      2      4      5         
Adomas              L.                  5      10     10     4      10     10        
Barbora             D.                  5      10     4      1      4      5         
Ugne                D.                  4      10     5      10     2      6         
Tomas               D.                  4      1      3      1      5      2         
Tomas               R.                  9      8      10     9      5      9         
Petras              F.                  8      1      5      4      5      10        
Paulius             C.                  9      6      9      5      6      2         
Kestas              F.                  3      10     2      4      10     6         
Motiejus            G.                  7      9      7      8      6      6         
Juozas              A.                  6      8      4      9      3      6         
Jokubas             P.                  2      6      3      7      2      1         
Adele               U.                  4      6      1      2      2      8         
Markas              A.                  2      8      2      9      8      1         
Amelija             S.                  7      8      3      7      9      7         
Liepa               C.                  2      10     6      9      10     7         
Matas               R.                  9      3      8      9      9      5         
Emilija             L.                  3      7      5      5      9      3         
Amelija             R.                  6      7      6      10     2      6         
Emilija             D.                  9      3      6      2      9      4         
Ema                 A.                  6      2      1      8      8      3         
Barbora             Q.                  10     2      7      9      4      2         
Juozas              N.                  7      2      7      7      8      1         
Petras              P.                  10     10     7      8      1      5         
Markas              R.                  1      4      7      3      1      5         
Matas               P.                  9      5      6      5      2      5         
Olivija             B.                  10     5      5      7      4      9         
Paulius             M.                  3      8      4      8      6      9         
Jonas               E.                  10     6      8      7      2      4         
Barbora             V.                  5      6      8      3      7      3         
Daumantas           U.                  9      4      3      7      2      6         
Markas              E.                  6      5      7      4      5      6         
Juozas              P.                  3      1      3      7      8      8         
Tomas               K.                  9      7      6      4      8      4         
Andrius             N.                  2      2      7      3      6      4         
Benas               Q.                  10     9      8      5      5      8         
Olivija             C.                  10     6      9      10     8      6         
Ugne                V.                  2      10     9      5      3      10        
Nojus               D.                  3      7      2      7      8      9         
Dominykas           N.                  10     5      1      4      6      7         
